table_name,column_name,data_type,nullable,null_count,approx_distinct_count
add_to_cart,client_id,bigint,True,0,2342336
add_to_cart,timestamp,string,True,0,
add_to_cart,sku,bigint,True,0,1287731
page_visit,client_id,bigint,True,0,20927946
page_visit,timestamp,string,True,0,
page_visit,url,bigint,True,0,14364653
product_buy,client_id,bigint,True,0,833095
product_buy,timestamp,string,True,0,
product_buy,sku,bigint,True,0,611933
product_properties,sku,bigint,True,0,1369522
product_properties,category,bigint,True,0,6347
product_properties,price,bigint,True,0,
product_properties,name,string,True,0,
remove_from_cart,client_id,bigint,True,0,692666
remove_from_cart,timestamp,string,True,0,
remove_from_cart,sku,bigint,True,0,781525
search_query,client_id,bigint,True,0,1589914
search_query,timestamp,string,True,0,
search_query,query,string,True,0,
